"year","creditorEntity","debtorCountry","series","data"
2021,"004","AFG","DT.INR.DPPG",NA
2022,"004","AFG","DT.INR.DPPG",NA
2023,"004","AFG","DT.INR.DPPG",NA
1990,"005","AFG","DT.INR.DPPG",NA
1991,"005","AFG","DT.INR.DPPG",NA
1992,"005","AFG","DT.INR.DPPG",NA
1993,"005","AFG","DT.INR.DPPG",NA
1994,"005","AFG","DT.INR.DPPG",NA
1995,"005","AFG","DT.INR.DPPG",NA
1996,"005","AFG","DT.INR.DPPG",NA
1997,"005","AFG","DT.INR.DPPG",NA
1998,"005","AFG","DT.INR.DPPG",NA
1999,"005","AFG","DT.INR.DPPG",NA
2000,"005","AFG","DT.INR.DPPG",NA
2001,"005","AFG","DT.INR.DPPG",NA
2002,"005","AFG","DT.INR.DPPG",NA
2003,"005","AFG","DT.INR.DPPG",NA
2004,"005","AFG","DT.INR.DPPG",NA
2005,"005","AFG","DT.INR.DPPG",NA
2006,"005","AFG","DT.INR.DPPG",0
2007,"005","AFG","DT.INR.DPPG",0
2008,"005","AFG","DT.INR.DPPG",0
2009,"005","AFG","DT.INR.DPPG",0
2010,"005","AFG","DT.INR.DPPG",0
2011,"005","AFG","DT.INR.DPPG",0
2012,"005","AFG","DT.INR.DPPG",0
2013,"005","AFG","DT.INR.DPPG",0
2014,"005","AFG","DT.INR.DPPG",0
2015,"005","AFG","DT.INR.DPPG",0
2016,"005","AFG","DT.INR.DPPG",0
2017,"005","AFG","DT.INR.DPPG",0
2018,"005","AFG","DT.INR.DPPG",0
2019,"005","AFG","DT.INR.DPPG",0
2020,"005","AFG","DT.INR.DPPG",0
2021,"005","AFG","DT.INR.DPPG",0
2022,"005","AFG","DT.INR.DPPG",0
2023,"005","AFG","DT.INR.DPPG",0
1990,"006","AFG","DT.INR.DPPG",NA
1991,"006","AFG","DT.INR.DPPG",NA
1992,"006","AFG","DT.INR.DPPG",NA
1993,"006","AFG","DT.INR.DPPG",NA
1994,"006","AFG","DT.INR.DPPG",NA
1995,"006","AFG","DT.INR.DPPG",NA
1996,"006","AFG","DT.INR.DPPG",NA
1997,"006","AFG","DT.INR.DPPG",NA
1998,"006","AFG","DT.INR.DPPG",NA
1999,"006","AFG","DT.INR.DPPG",NA
2000,"006","AFG","DT.INR.DPPG",NA
2001,"006","AFG","DT.INR.DPPG",NA
2002,"006","AFG","DT.INR.DPPG",NA
2003,"006","AFG","DT.INR.DPPG",NA
2004,"006","AFG","DT.INR.DPPG",NA
2005,"006","AFG","DT.INR.DPPG",NA
2006,"006","AFG","DT.INR.DPPG",0
2007,"006","AFG","DT.INR.DPPG",0
2008,"006","AFG","DT.INR.DPPG",0
2009,"006","AFG","DT.INR.DPPG",0
2010,"006","AFG","DT.INR.DPPG",0
2011,"006","AFG","DT.INR.DPPG",0
2012,"006","AFG","DT.INR.DPPG",0
2013,"006","AFG","DT.INR.DPPG",0
2014,"006","AFG","DT.INR.DPPG",0
2015,"006","AFG","DT.INR.DPPG",0
2016,"006","AFG","DT.INR.DPPG",0
2017,"006","AFG","DT.INR.DPPG",0
2018,"006","AFG","DT.INR.DPPG",0
2019,"006","AFG","DT.INR.DPPG",0
2020,"006","AFG","DT.INR.DPPG",0
2021,"006","AFG","DT.INR.DPPG",0
2022,"006","AFG","DT.INR.DPPG",0
2023,"006","AFG","DT.INR.DPPG",0
1990,"007","AFG","DT.INR.DPPG",NA
1991,"007","AFG","DT.INR.DPPG",NA
1992,"007","AFG","DT.INR.DPPG",NA
1993,"007","AFG","DT.INR.DPPG",NA
1994,"007","AFG","DT.INR.DPPG",NA
1995,"007","AFG","DT.INR.DPPG",NA
1996,"007","AFG","DT.INR.DPPG",NA
1997,"007","AFG","DT.INR.DPPG",NA
1998,"007","AFG","DT.INR.DPPG",NA
1999,"007","AFG","DT.INR.DPPG",NA
2000,"007","AFG","DT.INR.DPPG",NA
2001,"007","AFG","DT.INR.DPPG",NA
2002,"007","AFG","DT.INR.DPPG",NA
2003,"007","AFG","DT.INR.DPPG",NA
2004,"007","AFG","DT.INR.DPPG",NA
2005,"007","AFG","DT.INR.DPPG",NA
2006,"007","AFG","DT.INR.DPPG",NA
2007,"007","AFG","DT.INR.DPPG",NA
2008,"007","AFG","DT.INR.DPPG",NA
2009,"007","AFG","DT.INR.DPPG",NA
2010,"007","AFG","DT.INR.DPPG",NA
2011,"007","AFG","DT.INR.DPPG",NA
2012,"007","AFG","DT.INR.DPPG",NA
2013,"007","AFG","DT.INR.DPPG",NA
2014,"007","AFG","DT.INR.DPPG",NA
2015,"007","AFG","DT.INR.DPPG",NA
2016,"007","AFG","DT.INR.DPPG",NA
2017,"007","AFG","DT.INR.DPPG",NA
2018,"007","AFG","DT.INR.DPPG",NA
2019,"007","AFG","DT.INR.DPPG",NA
2020,"007","AFG","DT.INR.DPPG",NA
2021,"007","AFG","DT.INR.DPPG",NA
2022,"007","AFG","DT.INR.DPPG",NA
2023,"007","AFG","DT.INR.DPPG",NA
1990,"008","AFG","DT.INR.DPPG",NA
1991,"008","AFG","DT.INR.DPPG",NA
1992,"008","AFG","DT.INR.DPPG",NA
1993,"008","AFG","DT.INR.DPPG",NA
1994,"008","AFG","DT.INR.DPPG",NA
1995,"008","AFG","DT.INR.DPPG",NA
1996,"008","AFG","DT.INR.DPPG",NA
1997,"008","AFG","DT.INR.DPPG",NA
1998,"008","AFG","DT.INR.DPPG",NA
